,text,metadata
10,"To keep up with the rapidly evolving field and job market, you will be challenged by our rigorous curriculum that is designed by and for data science innovators and leaders. Courses are reviewed annually to ensure the content keeps pace with the rapidly evolving landscape of data science.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'By and For Data Science Innovators', 'super_section': None}"
11,You have the flexibility to pursue theMaster’s in Applied Data Sciencedegree on a part- or full-time schedule. Part-time students enroll in two courses each quarter and take their courses in the evenings or on Saturdays. Full-time students take three courses per quarter. Some of their courses may be offered during the day. All courses are taught at the NBC Tower or Gleacher Center in downtown Chicago.,"{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'By and For Data Science Innovators', 'super_section': None}"
12,"Foundational noncredit courses are designed and taught by Master’s in Applied Data Sciencefaculty and instructors. These optional courses—available at no additional cost— provide the basis for the rigorous Applied Data Science degree. Course content undergirds the theoretical, strategic, and practical data science studies you will encounter in the rest of the curriculum.Beginning in academic year 2024-25, all entering students will complete a required online Foundational Skills Assessment. The assessment helps faculty and advisors understand how to best support you once you begin in the program. The four Foundational noncredit courses are listed below. Please note that Introduction to Statistical Concepts and R are considered pre-quarter courses and therefore take place during the 5 weeks leading up to your first quarter in the program. All Foundational courses are completed virtually for all students regardless of enrollment in the In-Person or Online Program.Read More +Show Less -","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Foundational Courses (noncredit, optional)', 'super_section': 'By and For Data Science Innovators'}"
13,"Beginning in academic year 2024-25, all entering students will complete a required online Foundational Skills Assessment. The assessment helps faculty and advisors understand how to best support you once you begin in the program. The four Foundational noncredit courses are listed below. Please note that Introduction to Statistical Concepts and R are considered pre-quarter courses and therefore take place during the 5 weeks leading up to your first quarter in the program. All Foundational courses are completed virtually for all students regardless of enrollment in the In-Person or Online Program.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Foundational Courses (noncredit, optional)', 'super_section': 'By and For Data Science Innovators'}"
14,Read More +Show Less -,"{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Foundational Courses (noncredit, optional)', 'super_section': 'By and For Data Science Innovators'}"
15,"Increasingly, employers demand data scientists and analytics professionals who are not only technically excellent but also superior collaborators, reliable communicators, ethical problem-solvers, and more. To ensure that our graduates remain as top candidates in the job market, we provide tailored support through our required, multi-quarter Career Seminar. The Seminar is designed to counter-balance students’ time commitments in other courses. *Students with significant, relevant full-time work experience may be eligible to waive this requirement.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Career Seminar (noncredit, required)', 'super_section': 'By and For Data Science Innovators'}"
16,You will complete six core courses toward yourMaster’s in Applied Data Sciencedegree. Core courses allow you to build your theoretical data science knowledge and practice applying this theory to examine real-world business problems.,"{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Core Courses (6)', 'super_section': 'By and For Data Science Innovators'}"
17,"Explore advanced analytics strategies and applications. You will complete four required electives toward your 12-course degree program. We continually add electives to evolve with the data science landscape. Past electives include: Advanced Computer Vision with Deep Learning, Advanced Machine Learning and Artificial Intelligence, Bayesian Methods, Data Science for Algorithmic Marketing, Data Visualization Techniques, Digital Marketing Analytics in Theory and Practice, Financial Analytics, Health Analytics, Machine Learning Operations, Natural Language Processing and Cognitive Computing, Real Time Intelligent Systems, Reinforcement Learning, Supply Chain Optimization.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Elective Courses (4)', 'super_section': 'By and For Data Science Innovators'}"
18,"The requiredCapstone Projectis completed over two quarters and covers research design, implementation, and writing. Full-time students start their Capstone Project in their third quarter. Part-time students generally begin the Capstone Project two quarters before their projected graduation quarter. Students choose among industry- and research-focused projects.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Capstone (2)', 'super_section': 'By and For Data Science Innovators'}"
19,"The Pass/Fail Career Seminar supports the development of industry professional skills, job and/or internship searches, and other in-demand areas of competency among today’s employers. Students enroll in the Career Seminar each quarter in order to engage in unique content throughout their degree program. Students with significant full-time work experience may be eligible to waive this course. 0 units, no cost.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Career Seminar (Seminar, required)', 'super_section': None}"
20,"This course is held in the five weeks leading up to the start of your first quarter and provides general exposure to basic statistical concepts necessary for success in advanced courses in the program. 0 units, no cost.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Introduction to Statistical Concepts (Foundational, optional)', 'super_section': None}"
21,"This course is held the five weeks leading up to the start of your first quarter and is an introduction to the essential concepts and techniques for the statistical computing language R. 0 units, no cost.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'R for Data Science (Foundational, optional)', 'super_section': None}"
22,"This course is held concurrently with the first five weeks of your first quarter in the program and starts with an introduction to the Python programming language basic syntax and environment. 0 units, no cost.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Python for Data Science (Foundational, optional)', 'super_section': None}"
23,"This course is held concurrently with the second five weeks of your first quarter in the program and is focused on the theoretical concepts and real-life applications of linear algebra for machine learning. 0 units, no cost.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Advanced Linear Algebra for Machine Learning (Foundational, optional)', 'super_section': None}"
24,"If you would like to gauge your preparation in Foundational course topics, we recommend specific Coursera courses that cover very similar topics.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Brush up on the Basics (Optional resource)', 'super_section': None}"
25,"If you would like to gauge your preparation in Foundational course topics, we recommend specific Coursera courses that cover very similar topics.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Brush up on the Basics (Optional resource)', 'super_section': None}"
26,"Four Coursera courses cover very similar topics. You can review the Coursera curricula to see if you are already well-prepared, or if you like, study their materials to brush up on some or all of these topics.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Brush up on the Basics (Optional resource)', 'super_section': None}"
27,Mathematics for Machine Learning: Linear Algebra (offered by University College London),"{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Brush up on the Basics (Optional resource)', 'super_section': None}"
28,"Basis Data Descriptors, Statistical Distributions, and Application to Business Decisions (offered by Rice University)","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Brush up on the Basics (Optional resource)', 'super_section': None}"
29,"Python for Data Science, AI, & Development (offered by IBM)","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Brush up on the Basics (Optional resource)', 'super_section': None}"
30,Data Analysis with R Programming (offered by Google),"{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Brush up on the Basics (Optional resource)', 'super_section': None}"
31,Time Series Analysis is a science as well as the art of making rational predictions based on previous records. It is widely used in various fields in today’s business settings.,"{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Time Series Analysis and Forecasting', 'super_section': None}"
32,"In a traditional linear model, the observed response follows a normal distribution, and the expected response value is a linear combination of the predictors.  Since Carl Friedrich Gauss (1777-1855) and Adrien-Marie Legendre (1752-1833) created this linear model framework in the early 1800s, the “Linear Normal” assumption has been the norm in statistics/data science for almost two centuries.  New methods based on probability distributions other than Gaussian appeared only in the second half of the twentieth century. These methods allowed working with variables that span a broader variety of domains and probability distributions. Besides, methods for the analysis of general associations were developed that are different from the Pearson correlation.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Statistical Models for Data Science', 'super_section': None}"
33,"This course is aimed at providing students an introduction to machine learning with data mining techniques and algorithms. It gives a rigorous methodological foundation in analytical and software tools to successfully undertake projects in Data Science. Students are exposed to concepts of exploratory analyses for uncovering and detecting patterns in multivariate data, hypothesizing and detecting relationships among variables, conducting confirmatory analyses, and building models for predictive and descriptive purposes. It will present predictive modeling in the context of balancing predictive and descriptive accuracies.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Machine Learning I', 'super_section': None}"
34,"The objective of this course is three-folds–first, to extend student understanding of predictive modeling with machine learning concepts and methodologies from Machine Learning 1 into the realm of Deep Learning and Generative AI. Second, to develop the ability to apply those concepts and methodologies to diverse practical applications, evaluate the results and recommend the next best action. Third, to discuss and understand state-of-the machine learning and deep learning research and development and their applications.","{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Machine Learning II', 'super_section': None}"
35,Data Engineering Platforms teaches effective data engineering—an essential first step in building an analytics-driven competitive advantage in the market.,"{'source_url': 'https://datascience.uchicago.edu/education/masters-programs/in-person-program/', 'retrieved_at': '2025-07-22T20:17:29.207159', 'title': 'In-Person Program – DSI', 'section': 'Data Engineering Platforms for Analytics or Big Data and Cloud Computing', 'super_section': None}"
